,account_name,compound,date,negative,neutral,positive,text
0,BBCNews,-0.3182,Tue Jan 09 06:48:30 +0000 2018,0.277,0.723,0.0,BBCNews
1,BBCNews,-0.5574,Tue Jan 09 06:20:45 +0000 2018,0.31,0.69,0.0,BBCNews
2,BBCNews,0.0,Tue Jan 09 04:58:32 +0000 2018,0.0,1.0,0.0,BBCNews
3,BBCNews,0.3612,Tue Jan 09 04:51:07 +0000 2018,0.0,0.902,0.098,BBCNews
4,BBCNews,0.4019,Tue Jan 09 02:28:43 +0000 2018,0.0,0.856,0.144,BBCNews
5,BBCNews,0.3687,Tue Jan 09 02:25:24 +0000 2018,0.101,0.67,0.229,BBCNews
6,BBCNews,0.0,Tue Jan 09 02:25:22 +0000 2018,0.0,1.0,0.0,BBCNews
7,BBCNews,-0.5106,Tue Jan 09 02:03:55 +0000 2018,0.406,0.42,0.175,BBCNews
8,BBCNews,-0.5719,Tue Jan 09 01:09:51 +0000 2018,0.346,0.654,0.0,BBCNews
9,BBCNews,0.0258,Tue Jan 09 00:58:45 +0000 2018,0.0,0.864,0.136,BBCNews
10,BBCNews,-0.7906,Tue Jan 09 00:55:06 +0000 2018,0.467,0.533,0.0,BBCNews
11,BBCNews,-0.1027,Tue Jan 09 00:11:22 +0000 2018,0.123,0.877,0.0,BBCNews
12,BBCNews,0.0,Mon Jan 08 23:46:37 +0000 2018,0.0,1.0,0.0,BBCNews
13,BBCNews,-0.8779,Mon Jan 08 23:09:08 +0000 2018,0.529,0.471,0.0,BBCNews
14,BBCNews,0.0,Mon Jan 08 23:07:10 +0000 2018,0.0,1.0,0.0,BBCNews
15,BBCNews,0.0,Mon Jan 08 23:01:10 +0000 2018,0.0,1.0,0.0,BBCNews
16,BBCNews,0.0,Mon Jan 08 22:51:28 +0000 2018,0.0,1.0,0.0,BBCNews
17,BBCNews,-0.5574,Mon Jan 08 22:31:10 +0000 2018,0.118,0.882,0.0,BBCNews
18,BBCNews,-0.34,Mon Jan 08 22:29:19 +0000 2018,0.231,0.769,0.0,BBCNews
19,BBCNews,0.0,Mon Jan 08 22:27:05 +0000 2018,0.0,1.0,0.0,BBCNews
20,BBCNews,-0.5106,Mon Jan 08 22:24:04 +0000 2018,0.292,0.708,0.0,BBCNews
21,BBCNews,0.0,Mon Jan 08 22:20:13 +0000 2018,0.0,1.0,0.0,BBCNews
22,BBCNews,0.0,Mon Jan 08 22:18:54 +0000 2018,0.0,1.0,0.0,BBCNews
23,BBCNews,0.0,Mon Jan 08 22:14:28 +0000 2018,0.0,1.0,0.0,BBCNews
24,BBCNews,0.0,Mon Jan 08 21:51:40 +0000 2018,0.0,1.0,0.0,BBCNews
25,BBCNews,0.0,Mon Jan 08 21:50:24 +0000 2018,0.0,1.0,0.0,BBCNews
26,BBCNews,-0.7506,Mon Jan 08 21:33:00 +0000 2018,0.516,0.484,0.0,BBCNews
27,BBCNews,-0.7717,Mon Jan 08 21:08:56 +0000 2018,0.242,0.758,0.0,BBCNews
28,BBCNews,0.0,Mon Jan 08 20:33:45 +0000 2018,0.0,1.0,0.0,BBCNews
29,BBCNews,0.0,Mon Jan 08 20:23:06 +0000 2018,0.0,1.0,0.0,BBCNews
30,BBCNews,0.0258,Mon Jan 08 20:12:02 +0000 2018,0.0,0.945,0.055,BBCNews
31,BBCNews,0.0,Mon Jan 08 19:35:36 +0000 2018,0.0,1.0,0.0,BBCNews
32,BBCNews,-0.6369,Mon Jan 08 19:28:39 +0000 2018,0.222,0.726,0.052,BBCNews
33,BBCNews,0.0,Mon Jan 08 19:27:17 +0000 2018,0.0,1.0,0.0,BBCNews
34,BBCNews,0.0,Mon Jan 08 19:16:44 +0000 2018,0.0,1.0,0.0,BBCNews
35,BBCNews,0.0516,Mon Jan 08 19:16:38 +0000 2018,0.098,0.795,0.106,BBCNews
36,BBCNews,0.0,Mon Jan 08 19:13:03 +0000 2018,0.0,1.0,0.0,BBCNews
37,BBCNews,0.1779,Mon Jan 08 18:54:33 +0000 2018,0.0,0.931,0.069,BBCNews
38,BBCNews,0.0,Mon Jan 08 18:45:36 +0000 2018,0.0,1.0,0.0,BBCNews
39,BBCNews,0.0,Mon Jan 08 18:43:08 +0000 2018,0.0,1.0,0.0,BBCNews
40,BBCNews,0.0,Mon Jan 08 18:40:42 +0000 2018,0.0,1.0,0.0,BBCNews
41,BBCNews,0.0,Mon Jan 08 18:36:20 +0000 2018,0.0,1.0,0.0,BBCNews
42,BBCNews,0.0,Mon Jan 08 18:07:24 +0000 2018,0.0,1.0,0.0,BBCNews
43,BBCNews,-0.25,Mon Jan 08 18:07:17 +0000 2018,0.105,0.895,0.0,BBCNews
44,BBCNews,0.0,Mon Jan 08 17:54:25 +0000 2018,0.0,1.0,0.0,BBCNews
45,BBCNews,0.0,Mon Jan 08 17:53:38 +0000 2018,0.0,1.0,0.0,BBCNews
46,BBCNews,0.2263,Mon Jan 08 17:47:55 +0000 2018,0.0,0.894,0.106,BBCNews
47,BBCNews,0.6249,Mon Jan 08 17:43:10 +0000 2018,0.089,0.676,0.235,BBCNews
48,BBCNews,0.5267,Mon Jan 08 17:18:12 +0000 2018,0.0,0.764,0.236,BBCNews
49,BBCNews,0.1027,Mon Jan 08 17:07:16 +0000 2018,0.0,0.811,0.189,BBCNews
50,BBCNews,0.1027,Mon Jan 08 17:04:55 +0000 2018,0.0,0.781,0.219,BBCNews
51,BBCNews,0.1027,Mon Jan 08 17:03:05 +0000 2018,0.0,0.931,0.069,BBCNews
52,BBCNews,0.0,Mon Jan 08 16:52:46 +0000 2018,0.0,1.0,0.0,BBCNews
53,BBCNews,0.2263,Mon Jan 08 16:42:40 +0000 2018,0.09,0.784,0.125,BBCNews
54,BBCNews,0.6486,Mon Jan 08 16:42:21 +0000 2018,0.0,0.815,0.185,BBCNews
55,BBCNews,0.0,Mon Jan 08 16:40:10 +0000 2018,0.0,1.0,0.0,BBCNews
56,BBCNews,-0.1779,Mon Jan 08 16:25:35 +0000 2018,0.221,0.611,0.168,BBCNews
57,BBCNews,0.0,Mon Jan 08 16:02:32 +0000 2018,0.0,1.0,0.0,BBCNews
58,BBCNews,-0.0516,Mon Jan 08 15:33:26 +0000 2018,0.13,0.87,0.0,BBCNews
59,BBCNews,0.5411,Mon Jan 08 15:31:49 +0000 2018,0.0,0.868,0.132,BBCNews
60,BBCNews,0.4019,Mon Jan 08 15:21:42 +0000 2018,0.0,0.722,0.278,BBCNews
61,BBCNews,-0.4767,Mon Jan 08 15:21:34 +0000 2018,0.193,0.807,0.0,BBCNews
62,BBCNews,-0.4404,Mon Jan 08 15:20:48 +0000 2018,0.241,0.584,0.175,BBCNews
63,BBCNews,0.0,Mon Jan 08 15:19:25 +0000 2018,0.0,1.0,0.0,BBCNews
64,BBCNews,0.0,Mon Jan 08 15:18:10 +0000 2018,0.0,1.0,0.0,BBCNews
65,BBCNews,-0.296,Mon Jan 08 15:17:23 +0000 2018,0.196,0.804,0.0,BBCNews
66,BBCNews,-0.91,Mon Jan 08 15:17:23 +0000 2018,0.714,0.286,0.0,BBCNews
67,BBCNews,0.296,Mon Jan 08 15:08:32 +0000 2018,0.0,0.833,0.167,BBCNews
68,BBCNews,0.0,Mon Jan 08 15:08:05 +0000 2018,0.0,1.0,0.0,BBCNews
69,BBCNews,0.0,Mon Jan 08 15:06:21 +0000 2018,0.0,1.0,0.0,BBCNews
70,BBCNews,0.0,Mon Jan 08 14:37:13 +0000 2018,0.0,1.0,0.0,BBCNews
71,BBCNews,-0.1522,Mon Jan 08 14:35:19 +0000 2018,0.088,0.854,0.058,BBCNews
72,BBCNews,0.0,Mon Jan 08 14:32:05 +0000 2018,0.0,1.0,0.0,BBCNews
73,BBCNews,-0.2263,Mon Jan 08 14:26:13 +0000 2018,0.133,0.788,0.079,BBCNews
74,BBCNews,0.1531,Mon Jan 08 14:26:05 +0000 2018,0.0,0.885,0.115,BBCNews
75,BBCNews,0.0,Mon Jan 08 14:24:50 +0000 2018,0.0,1.0,0.0,BBCNews
76,BBCNews,0.1531,Mon Jan 08 14:21:09 +0000 2018,0.0,0.822,0.178,BBCNews
77,BBCNews,0.5106,Mon Jan 08 14:20:34 +0000 2018,0.0,0.769,0.231,BBCNews
78,BBCNews,0.0,Mon Jan 08 14:07:20 +0000 2018,0.0,1.0,0.0,BBCNews
79,BBCNews,-0.4767,Mon Jan 08 14:05:36 +0000 2018,0.124,0.876,0.0,BBCNews
80,BBCNews,0.0,Mon Jan 08 14:01:39 +0000 2018,0.0,1.0,0.0,BBCNews
81,BBCNews,0.5267,Mon Jan 08 13:59:55 +0000 2018,0.0,0.841,0.159,BBCNews
82,BBCNews,-0.6597,Mon Jan 08 13:59:36 +0000 2018,0.328,0.672,0.0,BBCNews
83,BBCNews,0.5267,Mon Jan 08 13:59:09 +0000 2018,0.0,0.825,0.175,BBCNews
84,BBCNews,0.0,Mon Jan 08 13:58:16 +0000 2018,0.0,1.0,0.0,BBCNews
85,BBCNews,0.0772,Mon Jan 08 13:48:48 +0000 2018,0.0,0.874,0.126,BBCNews
86,BBCNews,0.4939,Mon Jan 08 13:48:42 +0000 2018,0.0,0.856,0.144,BBCNews
87,BBCNews,-0.7845,Mon Jan 08 13:48:03 +0000 2018,0.463,0.537,0.0,BBCNews
88,BBCNews,-0.1531,Mon Jan 08 13:23:46 +0000 2018,0.068,0.932,0.0,BBCNews
89,BBCNews,-0.25,Mon Jan 08 13:18:23 +0000 2018,0.182,0.818,0.0,BBCNews
90,BBCNews,0.6369,Mon Jan 08 13:08:45 +0000 2018,0.0,0.755,0.245,BBCNews
91,BBCNews,-0.3612,Mon Jan 08 13:03:31 +0000 2018,0.214,0.687,0.099,BBCNews
92,BBCNews,0.0,Mon Jan 08 13:02:21 +0000 2018,0.0,1.0,0.0,BBCNews
93,BBCNews,0.4019,Mon Jan 08 12:58:33 +0000 2018,0.0,0.847,0.153,BBCNews
94,BBCNews,0.3612,Mon Jan 08 12:51:16 +0000 2018,0.0,0.889,0.111,BBCNews
95,BBCNews,0.5719,Mon Jan 08 12:26:44 +0000 2018,0.0,0.866,0.134,BBCNews
96,BBCNews,-0.296,Mon Jan 08 12:14:00 +0000 2018,0.136,0.864,0.0,BBCNews
97,BBCNews,0.2263,Mon Jan 08 12:02:29 +0000 2018,0.059,0.844,0.097,BBCNews
98,BBCNews,0.0772,Mon Jan 08 11:57:33 +0000 2018,0.0,0.874,0.126,BBCNews
99,BBCNews,-0.296,Mon Jan 08 11:57:30 +0000 2018,0.104,0.896,0.0,BBCNews
