,account_name,compound,date,negative,neutral,positive,text
0,CNN,0.0,Tue Jan 09 00:16:06 +0000 2018,0.0,1.0,0.0,CNN
1,CNN,0.0,Tue Jan 09 00:12:39 +0000 2018,0.0,1.0,0.0,CNN
2,CNN,0.128,Mon Jan 08 23:56:17 +0000 2018,0.0,0.87,0.13,CNN
3,CNN,-0.357,Mon Jan 08 23:47:45 +0000 2018,0.121,0.879,0.0,CNN
4,CNN,0.0,Mon Jan 08 23:41:03 +0000 2018,0.0,1.0,0.0,CNN
5,CNN,0.0,Mon Jan 08 23:36:05 +0000 2018,0.0,1.0,0.0,CNN
6,CNN,0.4767,Mon Jan 08 23:31:08 +0000 2018,0.0,0.687,0.313,CNN
7,CNN,0.7717,Mon Jan 08 23:26:07 +0000 2018,0.0,0.676,0.324,CNN
8,CNN,0.0,Mon Jan 08 23:21:05 +0000 2018,0.0,1.0,0.0,CNN
9,CNN,-0.0258,Mon Jan 08 23:16:09 +0000 2018,0.052,0.948,0.0,CNN
10,CNN,-0.3818,Mon Jan 08 23:11:07 +0000 2018,0.26,0.612,0.128,CNN
11,CNN,0.0,Mon Jan 08 23:06:04 +0000 2018,0.0,1.0,0.0,CNN
12,CNN,0.2263,Mon Jan 08 23:01:03 +0000 2018,0.101,0.759,0.139,CNN
13,CNN,-0.5719,Mon Jan 08 22:56:02 +0000 2018,0.222,0.778,0.0,CNN
14,CNN,0.3612,Mon Jan 08 22:47:11 +0000 2018,0.0,0.848,0.152,CNN
15,CNN,-0.1902,Mon Jan 08 22:40:25 +0000 2018,0.071,0.929,0.0,CNN
16,CNN,-0.1847,Mon Jan 08 22:32:26 +0000 2018,0.2,0.664,0.136,CNN
17,CNN,0.5859,Mon Jan 08 22:30:46 +0000 2018,0.0,0.826,0.174,CNN
18,CNN,0.0,Mon Jan 08 22:21:52 +0000 2018,0.0,1.0,0.0,CNN
19,CNN,0.0,Mon Jan 08 22:20:38 +0000 2018,0.0,1.0,0.0,CNN
20,CNN,0.0516,Mon Jan 08 22:16:20 +0000 2018,0.155,0.644,0.201,CNN
21,CNN,0.0,Mon Jan 08 22:15:10 +0000 2018,0.0,1.0,0.0,CNN
22,CNN,-0.8271,Mon Jan 08 22:03:32 +0000 2018,0.339,0.661,0.0,CNN
23,CNN,0.25,Mon Jan 08 22:00:52 +0000 2018,0.0,0.889,0.111,CNN
24,CNN,-0.296,Mon Jan 08 21:50:49 +0000 2018,0.109,0.891,0.0,CNN
25,CNN,0.3612,Mon Jan 08 21:48:30 +0000 2018,0.0,0.872,0.128,CNN
26,CNN,0.0,Mon Jan 08 21:34:04 +0000 2018,0.0,1.0,0.0,CNN
27,CNN,-0.0516,Mon Jan 08 21:33:06 +0000 2018,0.093,0.821,0.086,CNN
28,CNN,0.0,Mon Jan 08 21:32:39 +0000 2018,0.0,1.0,0.0,CNN
29,CNN,0.4019,Mon Jan 08 21:27:49 +0000 2018,0.0,0.876,0.124,CNN
30,CNN,0.4019,Mon Jan 08 21:21:23 +0000 2018,0.0,0.876,0.124,CNN
31,CNN,0.0,Mon Jan 08 21:20:12 +0000 2018,0.0,1.0,0.0,CNN
32,CNN,0.6124,Mon Jan 08 21:08:39 +0000 2018,0.0,0.773,0.227,CNN
