,account_name,compound,date,negative,neutral,positive,text
0,FoxNews,0.8555,Tue Jan 09 00:13:02 +0000 2018,0.0,0.669,0.331,FoxNews
1,FoxNews,0.0,Tue Jan 09 00:04:24 +0000 2018,0.0,1.0,0.0,FoxNews
2,FoxNews,-0.3182,Mon Jan 08 23:56:49 +0000 2018,0.333,0.46,0.207,FoxNews
3,FoxNews,-0.765,Mon Jan 08 23:56:26 +0000 2018,0.521,0.479,0.0,FoxNews
4,FoxNews,0.5106,Mon Jan 08 23:38:03 +0000 2018,0.073,0.728,0.199,FoxNews
5,FoxNews,0.0,Mon Jan 08 23:29:58 +0000 2018,0.0,1.0,0.0,FoxNews
6,FoxNews,0.4588,Mon Jan 08 23:23:30 +0000 2018,0.0,0.786,0.214,FoxNews
7,FoxNews,0.0,Mon Jan 08 23:22:01 +0000 2018,0.0,1.0,0.0,FoxNews
8,FoxNews,0.6114,Mon Jan 08 23:12:01 +0000 2018,0.0,0.765,0.235,FoxNews
9,FoxNews,0.4019,Mon Jan 08 23:10:27 +0000 2018,0.0,0.787,0.213,FoxNews
10,FoxNews,-0.612,Mon Jan 08 23:00:04 +0000 2018,0.267,0.733,0.0,FoxNews
11,FoxNews,0.25,Mon Jan 08 22:51:00 +0000 2018,0.0,0.857,0.143,FoxNews
12,FoxNews,-0.34,Mon Jan 08 22:43:38 +0000 2018,0.112,0.888,0.0,FoxNews
13,FoxNews,-0.4404,Mon Jan 08 22:30:40 +0000 2018,0.132,0.868,0.0,FoxNews
14,FoxNews,0.2263,Mon Jan 08 22:23:03 +0000 2018,0.134,0.671,0.195,FoxNews
15,FoxNews,0.0,Mon Jan 08 22:15:05 +0000 2018,0.0,1.0,0.0,FoxNews
16,FoxNews,0.0,Mon Jan 08 22:14:02 +0000 2018,0.0,1.0,0.0,FoxNews
17,FoxNews,0.7311,Mon Jan 08 22:08:53 +0000 2018,0.0,0.745,0.255,FoxNews
18,FoxNews,-0.3182,Mon Jan 08 22:08:12 +0000 2018,0.15,0.85,0.0,FoxNews
19,FoxNews,-0.1779,Mon Jan 08 22:04:42 +0000 2018,0.21,0.641,0.149,FoxNews
20,FoxNews,0.6808,Mon Jan 08 22:00:11 +0000 2018,0.0,0.763,0.237,FoxNews
21,FoxNews,0.0,Mon Jan 08 21:55:42 +0000 2018,0.0,1.0,0.0,FoxNews
22,FoxNews,0.3182,Mon Jan 08 21:54:14 +0000 2018,0.122,0.655,0.223,FoxNews
23,FoxNews,0.0772,Mon Jan 08 21:49:57 +0000 2018,0.0,0.925,0.075,FoxNews
24,FoxNews,0.3182,Mon Jan 08 21:48:19 +0000 2018,0.0,0.867,0.133,FoxNews
25,FoxNews,0.4939,Mon Jan 08 21:47:30 +0000 2018,0.076,0.763,0.16,FoxNews
26,FoxNews,0.0258,Mon Jan 08 21:42:51 +0000 2018,0.207,0.622,0.17,FoxNews
27,FoxNews,-0.4767,Mon Jan 08 21:39:40 +0000 2018,0.255,0.745,0.0,FoxNews
28,FoxNews,-0.807,Mon Jan 08 21:35:21 +0000 2018,0.267,0.733,0.0,FoxNews
29,FoxNews,-0.2732,Mon Jan 08 21:32:50 +0000 2018,0.087,0.913,0.0,FoxNews
30,FoxNews,0.4767,Mon Jan 08 21:28:44 +0000 2018,0.0,0.829,0.171,FoxNews
31,FoxNews,0.5719,Mon Jan 08 21:27:30 +0000 2018,0.0,0.812,0.188,FoxNews
32,FoxNews,0.0,Mon Jan 08 21:23:31 +0000 2018,0.0,1.0,0.0,FoxNews
33,FoxNews,0.0,Mon Jan 08 21:20:42 +0000 2018,0.0,1.0,0.0,FoxNews
34,FoxNews,0.0,Mon Jan 08 21:18:23 +0000 2018,0.0,1.0,0.0,FoxNews
35,FoxNews,0.0,Mon Jan 08 21:12:37 +0000 2018,0.0,1.0,0.0,FoxNews
36,FoxNews,0.7506,Mon Jan 08 21:09:26 +0000 2018,0.0,0.701,0.299,FoxNews
37,FoxNews,0.0,Mon Jan 08 21:04:35 +0000 2018,0.0,1.0,0.0,FoxNews
38,FoxNews,-0.6705,Mon Jan 08 20:58:29 +0000 2018,0.391,0.609,0.0,FoxNews
39,FoxNews,-0.0772,Mon Jan 08 20:56:58 +0000 2018,0.163,0.698,0.14,FoxNews
40,FoxNews,0.4926,Mon Jan 08 20:52:10 +0000 2018,0.0,0.834,0.166,FoxNews
41,FoxNews,0.3612,Mon Jan 08 20:31:04 +0000 2018,0.0,0.872,0.128,FoxNews
42,FoxNews,0.0,Mon Jan 08 20:27:54 +0000 2018,0.0,1.0,0.0,FoxNews
43,FoxNews,-0.5719,Mon Jan 08 20:26:04 +0000 2018,0.239,0.761,0.0,FoxNews
44,FoxNews,0.0,Mon Jan 08 20:23:54 +0000 2018,0.0,1.0,0.0,FoxNews
45,FoxNews,-0.2263,Mon Jan 08 20:22:37 +0000 2018,0.137,0.863,0.0,FoxNews
46,FoxNews,0.4019,Mon Jan 08 20:16:05 +0000 2018,0.0,0.838,0.162,FoxNews
47,FoxNews,0.0,Mon Jan 08 20:12:35 +0000 2018,0.0,1.0,0.0,FoxNews
48,FoxNews,0.0,Mon Jan 08 20:08:23 +0000 2018,0.0,1.0,0.0,FoxNews
49,FoxNews,-0.3182,Mon Jan 08 20:03:50 +0000 2018,0.15,0.85,0.0,FoxNews
50,FoxNews,0.0,Mon Jan 08 19:57:14 +0000 2018,0.0,1.0,0.0,FoxNews
51,FoxNews,0.0,Mon Jan 08 19:53:32 +0000 2018,0.0,1.0,0.0,FoxNews
52,FoxNews,0.0,Mon Jan 08 19:52:48 +0000 2018,0.0,1.0,0.0,FoxNews
53,FoxNews,-0.2732,Mon Jan 08 19:48:30 +0000 2018,0.16,0.84,0.0,FoxNews
54,FoxNews,-0.7906,Mon Jan 08 19:45:16 +0000 2018,0.438,0.562,0.0,FoxNews
55,FoxNews,0.7783,Mon Jan 08 19:43:05 +0000 2018,0.0,0.726,0.274,FoxNews
56,FoxNews,0.0,Mon Jan 08 19:42:29 +0000 2018,0.0,1.0,0.0,FoxNews
57,FoxNews,-0.4588,Mon Jan 08 19:37:47 +0000 2018,0.167,0.833,0.0,FoxNews
58,FoxNews,-0.9349,Mon Jan 08 19:34:27 +0000 2018,0.504,0.496,0.0,FoxNews
59,FoxNews,0.3182,Mon Jan 08 19:31:05 +0000 2018,0.0,0.892,0.108,FoxNews
60,FoxNews,-0.3612,Mon Jan 08 19:27:54 +0000 2018,0.254,0.578,0.168,FoxNews
61,FoxNews,0.4019,Mon Jan 08 19:27:06 +0000 2018,0.0,0.856,0.144,FoxNews
62,FoxNews,-0.612,Mon Jan 08 19:20:08 +0000 2018,0.267,0.733,0.0,FoxNews
63,FoxNews,0.5574,Mon Jan 08 19:14:56 +0000 2018,0.0,0.753,0.247,FoxNews
64,FoxNews,0.0,Mon Jan 08 19:11:48 +0000 2018,0.0,1.0,0.0,FoxNews
65,FoxNews,-0.8442,Mon Jan 08 19:05:46 +0000 2018,0.503,0.497,0.0,FoxNews
66,FoxNews,0.0,Mon Jan 08 18:59:40 +0000 2018,0.0,1.0,0.0,FoxNews
67,FoxNews,0.0,Mon Jan 08 18:56:36 +0000 2018,0.0,1.0,0.0,FoxNews
68,FoxNews,0.3182,Mon Jan 08 18:53:08 +0000 2018,0.0,0.874,0.126,FoxNews
69,FoxNews,-0.765,Mon Jan 08 18:51:09 +0000 2018,0.458,0.542,0.0,FoxNews
70,FoxNews,0.0,Mon Jan 08 18:45:45 +0000 2018,0.0,1.0,0.0,FoxNews
71,FoxNews,0.5095,Mon Jan 08 18:41:54 +0000 2018,0.0,0.838,0.162,FoxNews
72,FoxNews,0.0,Mon Jan 08 18:38:43 +0000 2018,0.0,1.0,0.0,FoxNews
73,FoxNews,0.4404,Mon Jan 08 18:35:29 +0000 2018,0.0,0.861,0.139,FoxNews
74,FoxNews,0.6369,Mon Jan 08 18:32:47 +0000 2018,0.0,0.802,0.198,FoxNews
75,FoxNews,0.1513,Mon Jan 08 18:30:46 +0000 2018,0.0,0.935,0.065,FoxNews
76,FoxNews,-0.765,Mon Jan 08 18:29:20 +0000 2018,0.458,0.542,0.0,FoxNews
77,FoxNews,0.7615,Mon Jan 08 18:26:17 +0000 2018,0.0,0.681,0.319,FoxNews
78,FoxNews,-0.2732,Mon Jan 08 18:21:37 +0000 2018,0.139,0.861,0.0,FoxNews
79,FoxNews,0.0,Mon Jan 08 18:18:15 +0000 2018,0.0,1.0,0.0,FoxNews
80,FoxNews,0.5945,Mon Jan 08 18:13:18 +0000 2018,0.0,0.795,0.205,FoxNews
81,FoxNews,-0.683,Mon Jan 08 18:06:57 +0000 2018,0.228,0.772,0.0,FoxNews
82,FoxNews,0.5574,Mon Jan 08 17:57:39 +0000 2018,0.0,0.795,0.205,FoxNews
83,FoxNews,-0.0516,Mon Jan 08 17:54:22 +0000 2018,0.225,0.618,0.157,FoxNews
84,FoxNews,0.3612,Mon Jan 08 17:52:41 +0000 2018,0.166,0.51,0.325,FoxNews
85,FoxNews,0.2263,Mon Jan 08 17:49:01 +0000 2018,0.134,0.671,0.195,FoxNews
86,FoxNews,-0.3612,Mon Jan 08 17:46:59 +0000 2018,0.217,0.783,0.0,FoxNews
87,FoxNews,-0.4404,Mon Jan 08 17:37:34 +0000 2018,0.153,0.847,0.0,FoxNews
