,account_name,compound,date,negative,neutral,positive,text
0,NYT,0.765,Tue Jan 09 07:00:09 +0000 2018,0.0,0.625,0.375,NYT
1,NYT,0.34,Tue Jan 09 06:47:08 +0000 2018,0.0,0.769,0.231,NYT
2,NYT,-0.2263,Tue Jan 09 06:46:08 +0000 2018,0.213,0.787,0.0,NYT
3,NYT,-0.25,Tue Jan 09 06:45:09 +0000 2018,0.215,0.633,0.152,NYT
4,NYT,0.0,Tue Jan 09 06:29:08 +0000 2018,0.0,1.0,0.0,NYT
5,NYT,0.0,Tue Jan 09 06:13:08 +0000 2018,0.0,1.0,0.0,NYT
6,NYT,-0.2732,Tue Jan 09 05:42:08 +0000 2018,0.208,0.792,0.0,NYT
7,NYT,0.0,Tue Jan 09 05:11:08 +0000 2018,0.0,1.0,0.0,NYT
8,NYT,0.0,Tue Jan 09 04:31:08 +0000 2018,0.0,1.0,0.0,NYT
9,NYT,-0.296,Tue Jan 09 04:30:08 +0000 2018,0.18,0.82,0.0,NYT
10,NYT,-0.6808,Tue Jan 09 04:29:08 +0000 2018,0.412,0.588,0.0,NYT
11,NYT,-0.4767,Tue Jan 09 04:26:08 +0000 2018,0.291,0.709,0.0,NYT
12,NYT,0.0,Tue Jan 09 04:25:08 +0000 2018,0.0,1.0,0.0,NYT
13,NYT,0.0,Tue Jan 09 04:16:08 +0000 2018,0.0,1.0,0.0,NYT
14,NYT,0.0,Tue Jan 09 04:08:08 +0000 2018,0.0,1.0,0.0,NYT
15,NYT,-0.5106,Tue Jan 09 03:54:08 +0000 2018,0.292,0.708,0.0,NYT
16,NYT,0.0,Tue Jan 09 03:53:08 +0000 2018,0.0,1.0,0.0,NYT
17,NYT,0.0,Tue Jan 09 03:37:08 +0000 2018,0.0,1.0,0.0,NYT
18,NYT,0.4404,Tue Jan 09 03:31:08 +0000 2018,0.0,0.734,0.266,NYT
19,NYT,-0.7579,Tue Jan 09 03:20:08 +0000 2018,0.394,0.606,0.0,NYT
20,NYT,-0.2023,Tue Jan 09 03:05:07 +0000 2018,0.184,0.816,0.0,NYT
